ツイートID,ツイートされた時間(日本時間),配信前ツイート,ぽえーむ
1567830608361160704,2022-09-08_20:02:00,"このあと22時からは🌟

☀️ RUST ☀️

season3開幕ぺこおおおおおおおおお‼️

新マップはやれることが
たくさん増えたらしい✨✨

まずは拠点のお披露目＆探索としゃれこむぺこか！！！！！！！！！！！！！！！！

▽待機所▽
https://t.co/XNcPq5nUkK https://t.co/gScLOHeHLC","ついにSeason3！
今回はどんな物語になっているのだろうか！
シーズン２で悪魔と言われたウサギは果たして今回はなんといわれるのか！
まずはマップを見て考えようか。
拠点？もうありますよ。
みてください！
でっかいのにします！！！！！！！ "
1567445966189625344,2022-09-07_18:33:34,"このあと21時からは🌟

🍔月見バーガー食べ比べ🍔

キタキタキタキタ
月見バーガーの季節✨✨

今年もやります！！！！！！！！！
食べ比べ！！！！！！！！！！

毎年この季節を楽しみにしてるぺこなんだよん😊
みんなも買ってきて一緒に食べるぞ！！

▽待機所▽
https://t.co/5srTgyOrMN https://t.co/XHPmuiaWvF","1年に1度会えるだね。
なんかこの関係ってめっちゃエモくね？
ぺこーらはずっと楽しみにまってたよ？君はどうかな？今年も新しい味なんかだしちゃって素敵だね！
すき焼き？ぺこちゃんの大好物じゃん！
大好物×大好物の渋滞や！
みんなももう食べる準備できたぺこか？
それじゃあ一緒にいただきまーす "
1567125458671783937,2022-09-06_21:19:59,"このあと22時からは🌟

🥦Plants vs. Zombies🥦

みんなは知っているぺこか？
植物はゾンビに強い‼️

今日はいにしえの神ゲー🥳
夜中にまったりやるぞい！！！！！！！！

▽待機所▽
https://t.co/Kfsy1z1d2v https://t.co/iT0a7yHeLd","ゾンビは本当になんでも食べちゃって人の家も襲おうとするぺこなんだから！
そんなゾンビには植物だよね！草タイプって弱そうに見えるけどこのゲームに当たっては最強。
ゾンビを家に入らせないよう草草隊行きます！！！！！！！！
10年以上前の記憶を引っ張り出しゾンビをなぎ倒す！！！！！！！！ "
1566735965728563201,2022-09-05_19:32:17,"このあと21時からは🌟

🃏ドラクエモンスターズ ジョーカー🃏

本日ついに最終回！！！！！！！

仲間たちも強くなった✨
ぺこーらの覚悟も十分✨

カルマッソをこらしめにいくぺこ‼️‼️

▽待機所▽
https://t.co/UYw1Ozbh2R https://t.co/v5LYM2JI2x","ここまで苦難な道のりだった。
初めのころは右左もわからず、たくさんの仲間を失った。少し自信も失った。
だけど、少しずつわかってきて配合もたくさんやった。しだいにチームは強くなりきずなもさらに深まった。
もう誰にも負けないチームだと胸を張って言える。
そうだろう？
今日はもう勝つ！！！ "
1566012161905684480,2022-09-03_19:36:09,"このあと22時からは🌟

🌰ドラクエモンスターズ ジョーカー🌰

いよいよ終盤終盤終盤！！！

相棒？のゼウスは闇堕ちしちゃうし
どうなっちゃうのおおおおおおおお😭

最後の戦いに向けてメインメンバーも
配合配合配合ぺこ‼️‼️

▽待機所▽
https://t.co/drYlB7DMXA https://t.co/AtTnpqPfxY","仲間が闇落ちしちゃったときはあなたはどうする？
ぺこらは、どうしよう。
何か訴えかけたら変わるかな？
それとも目を覚ますために暴力か？
いや私は歌う。
私の歌声でみんなの願い、あなたの願いを現実にしてあげる。

そう、私は最強！！！！！！！！！！！！！！！！！！！！！！ "
1565653361361182720,2022-09-02_19:50:24,"このあと21時からは🌟

🚢ドラクエモンスターズ ジョーカー🚢

本日は新たな島
モルボンバ島からスタート✨✨

危険度Sって書いてあるけど大丈夫ぺこか？

ヤバそうなモンスターも作れるようになってきたし、最強のモンスター作ったるで！！！！！！！！！！

▽待機所▽
https://t.co/54tDtB5Z1V https://t.co/UibQ6KxvIk","新たな島に到着！
危険度がどんどん増しているけど、ぺこーらの仲間も危険やで！！！！
最強の力を持っているやつ、2回行動しちゃうやつ、そして臨機応変に動くやつ。
この最強のモンスターで今日もつよつよモンスターを仲間にする。
どんなモンスターがいるかオラわくわくっすぞ！！！！！！！ "
1565269032504217601,2022-09-01_18:23:13,"このあと20時からは🌟

‼️ RUST Season2最終戦 ‼️

今日はseason2ワイプ前の最終戦！！！

溜め込んだ物資
みんなが頑張って作った拠点
すべてブッパするぺこおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおおお✨✨

▽待機所▽
https://t.co/9rQXT4nVHx https://t.co/c9QjOFiUS8","Season2も今日で最終日！
あったやつとりあえずやればいいぺこなんだよね？
ぺこーらの拠点は守らなくて大丈夫？くらいにしてあるし守る気は今のところなし。
攻めに攻めをいこうと思うぺこ！！！！
さぁ、いこうまっさらな地を目指して
頑張るぺこおおおおおお！！！！！ "
1564747219202236416,2022-08-31_07:49:43,"今日は21時からホロライブサマー2022の最後を飾る3DLIVEがあるからみんな応援頼むぺこな🥳

▽待機所▽
https://t.co/xW1hnTIKe9 https://t.co/3QVqqCSiPt",
1564546199247802368,2022-08-30_18:30:56,"このあと20時からは🌟

‼️ ＃ホロRUSTチーム戦 ‼️

今日はRUSTの世界でチーム戦！！！
ぺこらはBチーム✨

今までの物資やチームに関係なく
その場でビルド＆対戦ぺこ！！

がんばるぞ🥳

▽待機所▽
https://t.co/zfls9huVse https://t.co/b79lUfmnRS",始まってるぺこだよおおおおおおおおおおおおお！楽しもう！！！！！！！！！！！！ 
1564160630147645441,2022-08-29_16:58:49,"このあと19時30分からは🌟

🎆Minecraft ホロ鯖夏祭り🎆

ついにキタキタ
ホロ鯖夏祭り！！！！！！！！✨✨

今日は出店を回って花火を見て
みんなで楽しもう☺️

ぺこーらはまず20時からのホロダービーに出るぺこ‼️

▽待機所▽
https://t.co/j5ZupfzxyP https://t.co/IKR8L7rj1L","今日は待ちに待った夏祭り。
あ～一緒に行く人いないな…
今年は一人かな・・・？え？
みんなが一緒に行ってくれるの？なんかうれしいぺこじゃん。
今日はホロダービーにぺこーらもでるから応援もよろしくぺこな！
そして最後はきれいな花火を見ようぺこおおおおお！！！！！ "
1563791476194127872,2022-08-28_16:31:56,"このあと21時からは🌟

🥕#ぺこらわかりて選手権🥕

3年間を共にした三期生メンバー…
みんなの理解度をチェックする、わかりて選手権開催ぺこ‼️

もちろん全問正解ぺこだよね？

4週連続で続いた三期生企画もラスト！
みんなもぜひやってみてね🐰💙

▽待機所▽
https://t.co/jpydUVaWJG https://t.co/omkrJM6hRE","配信前投票ではこのような結果…
1位：マリン（54％）3連覇なるか？
2位：リスナー（25％）当たり前ぺこだよな！
3位：フレア（13％）ぺこフレ…？
4位：ノエル（７％）スロカスの絆はない…？

誰がぺこら王を手にするのか‼️ "
1563461570423771137,2022-08-27_18:41:00,"このあと22時からは🌟

💫ドラクエ モンスターズジョーカー💫

混乱、マヌーサ…
恐ろしすぎたダンジョン！！！！！

だんだん見た目も
厳つくなってきた仲間たちで攻略じゃ‼️

まずは新人たちのお披露目式から☺️

▽待機所▽
https://t.co/UL86lptNlU https://t.co/RB77SKn3kc","マデュライト石も半分集まったし、仲間もつよつよになった！
けど、敵もその分強いし、いや～な攻撃してくるぺこ！！！！！
大丈夫、誰もかけない、誰一人わかれることのない旅にするんだ。
みんな今日は月のほうにいってスカウトもしつつ倒しにいくぺこ！！！！

れっつごおおおおおおおお！！！！ "
1563375756062760967,2022-08-27_13:00:01,"このあと17時からは🌟

🌺マイクラ 夏祭りステージリレー🌺

今日は夏祭りで使うステージをみんなでリレー建築していくぺこ！！！！！！！！！！！！！

最初はぼたんちゃんの枠から🥳
ぺこーらは多分最後！ガンバルゾ💪

▽待機所▽
https://t.co/ESHePozlKN https://t.co/iqr5P3S720",
1562749312052109313,2022-08-25_19:30:45,"このあと21時からは🌟

🃏ドラクエモンスターズ ジョーカー🃏

英雄ブータンの犠牲により
「ドラゴン」を手に入れたぺこーら達

今日は新たな島からスタートぺこ✨
カッコいいモンスターを作って無双じゃ！！！！！！！！！！！！！

▽待機所▽
https://t.co/fO10LQgbBe https://t.co/hAbCPssIQu","もう弱いだなんて言わせない！
配合に配合を重ねどんどん強くなっている！！！！
悲しいお別れも少なくなってきてやっと冒険らしい冒険になってきたな。
今日は新たな島に行くらしいがまたつええモンスターいるぺこか？
スカウトしまくってもっと強いモンスターを作って見せるぺこ！！！
いざ出発！！ "
1562376669649928192,2022-08-24_18:50:00,"このあと21時からは🌟

🍧Minecraft🍧

夏だ！祭りだ！
うおおおおおおおおおおおおおお！！

迫るホロ鯖夏祭り当日に向けて
ぺこーらも出店するぺこ✨

今年はぼったくりと言われない
安心安全なお店を作るぞ‼️

▽待機所▽
https://t.co/KAyIdoecga https://t.co/yCD42lRGxx","まーつりだまつりだまつりだ～
今年も夏祭りがやってくる～～～！！！
2回目になると同じのが作りづらいから考えるのめっちゃ大変だった～！！！
いろいろな祭り動画みてなんとか参考にさせてもらいます～！！！！
今年は目指せ、一番儲かる屋台を目標に頑張るぺこ！！！！！！！！
れっつおまついいい "
1562026610991460352,2022-08-23_19:38:59,"このあと21時からは🌟

🚁RUST🚁

今日は被害者が続出しているバトルヘリをぶっ壊すぺこおおおおおおおおおおおおおおおお🔥🔥

ホロ鯖の平和はぺこーらが守る！！！

もしくは水中ラボかミリタリートンネル襲います☆

▽待機所▽
https://t.co/MwheO4BToz https://t.co/K31tLSE9YA","新しければいいわけじゃない。古いものにも良さはある。
Newという言葉に魅力を感じてしまうけど、新しければいいわけじゃない。
けど、新しいってわくわくするよね！

けどね、今日は古い感情を持ってきた。
何度も何度もあいつにやられた。
そう、バトルヘリ、ぶっこわす！！！！！！！！！！！ "
1561670675097882624,2022-08-22_20:04:38,"このあと21時からは🌟

🃏ドラクエ モンスターズジョーカー🃏

初配合をしブラウンとの旅が開始✨✨
こいつの血は絶対に絶やさないぺこ！

今日は新しいところへ行って攻略じゃ‼️
そしてスカウト＆配合😊

▽待機所▽
https://t.co/jkBIJImKrj https://t.co/YHTSFv0mGo","仲間の数だけ涙がある。
そして幸せも同じ数だけきっとある。
大切な仲間が残した子供。私は責任をもって育てるとここに誓う。
どんどん新たな子孫を残し最強のパーティーを結成する。
その使命を果たすのがそう、ぺこーら。

今日も配合でたくさん強い子供を産むぺこ！！！！！！！！！！ "
1561289260111925249,2022-08-21_18:49:01,"このあと21時30分からは🌟

🃏ドラクエ モンスターズジョーカー🃏

初日に洗礼を受けた人生縛りジョーカー
もう誰も失わないと信じて…

今日は新しい仲間を加え
そしてそしてついに配合タイム✨

いくぞおめーら！！！！！！

▽待機所▽
https://t.co/e1ECfc3eEd https://t.co/4ZaNvRGxVt","洗礼とはこういうこと。
けどさ、はじめは洗礼を受けていいと思う。
そのほうが成長のふり幅がはんぱないはず！ぺこーらは昨日の失敗を糧に今日はめちゃめちゃ強いモンスターを作るんだ！
そして無双してやる！
だれがモンスターキングなのか！！！！！
まずは周りのモンスターでも刈ってみるか！！ "
1560914541873168385,2022-08-20_18:00:01,"このあと21時からは🌟

🃏ドラクエ ジョーカー🃏

大好きなドラクエのモンスターズシリーズ☺️

どんなモンスターが出てくるのか！！
誰を仲間にしようか！！！
楽しみぺこおおおおおおおおおお✨✨

今回も人生縛りでやっていきます！！！

▽待機所▽
https://t.co/rW0BXP4Hmz https://t.co/PW99yo7QPJ","またぺこーらは冒険に出ようと思う。
どんな出会いが待っているのか、楽しいこともつらいこともあると思う。
だけど、いつもそばにいるのはそう、仲間。
仲間がいればどんな困難も乗り越えられる。
生あるものいずれ死ある。
だけども、ぺこーらはだれも死なせない。
仲間を守るのは私だ！！！！！！！ "
1560597295019991040,2022-08-19_20:59:24,"このあと22時からは🌟

🐑Cult of the Lamb🐑

今日はクリアまで！！！！！！

教団とは1人ではできない…
みんなの幸せを願って…

誰の犠牲もなく
みんなで笑顔でエンディングを迎えよう☺️

▽待機所▽
https://t.co/5194J5ck5M https://t.co/EWpFcvvQ7Z","幸せの先にはなにがある？
光？それともやさしさ？
この答えを知るためにずっと私は探してきた。
あと少し、あと少しでその答えがきっとわかる。
そうだよね？
悲しいことや辛いこともたくさんあった。
けどその先には必ず幸せがある。
そう、ここはしあわせの家！！！！！！ "
1560198853844156417,2022-08-18_18:36:08,"このあと20時からは🌟

💀RUST💀

アチチなRustｵｵｵｵｵｵｵｵ‼️

参加メンバー、イン率共に
今最高の盛り上がりをみせているぺこ🥳

最近は攻略重視だったぺこーら。
今日は久しぶりに鬼のぺこちゃんを出しちゃおうかなぁ！？

▽待機所▽
https://t.co/cbFx0dM6yb https://t.co/8fh1jI043N","やっぱりPVPなんだね。
この世界はPVPしかないんだね。
わかったよ。
もう、決めた。
ぺこーらは銃を手に取ることにした。
本当はいやだよ。こわいよ…
けど、もうこんな世の中になっちゃったんだもん。
やるしかないよね… "
1559863524251533313,2022-08-17_20:23:39,"この後２２時からは🌟

🐑Cult of the Lamb🐑

宗教団体しあわせの家は信者を募集中‼️
みんな笑顔をモットーにやってます。

あ！あなたも幸せになりませんか？
そこのあなたも！そこのあなたも！

教祖は今日も大忙し😊🎶

▽待機所▽
https://t.co/j6YhRTsHKR https://t.co/9iMCRAc5FA","こんはぴー！
今日も元気にみなさんを幸せにする。
教祖様ぺこーらだよ！
昨日から設立したけど信者数も増え、けど離反しようとする愚か者もけっこいた。
わかるよね？
来るもの拒まず去る者…
ね？
今日も生きのいい信者さんおまちしております！
生贄やら決闘やらいろいろうやっていきましょ！ "
1559467319315034112,2022-08-16_18:09:17,"このあと21時からは🌟

🐑Cult of the Lamb🐑

貴方は今幸せですか？
幸せになりたいそんな貴方に・・・

カリスマ教祖 兎田ぺこーら
新たな宗教を作ります！！！！！🥳

今回コメント欄のリスナーのみんなに
信者として加入してもらう予定だからよろぺこな✨

▽待機所▽
https://t.co/YrklZqkbLs https://t.co/Vw7KURWWQZ","幸せってなんだろう。
一人ひとりによって幸せって違うと思う。
小さい幸せ、大きな幸せ。
幸せって400種類あるねん。

幸せ見つけれますか？もし、見つけられない場合は、今から立ち上げるぺこーらの宗教にどうですか？

きっと見つかる。あなたの幸せ。そしてぺこらの幸せ！！！！！！！！ "
1558762915339321344,2022-08-14_19:30:14,"このあと21時からは🌟

🚢RUST🚢

今日こそお船リベンジ！！！！！！
絶ッッッ対クリアするからみんな見ててくれぺこ💪

そしてそして
電気機器とかでも遊んでみたい✨✨
楽しいRUST生活の始まりじゃ！！！

▽待機所▽
https://t.co/P9FEHMqVBh https://t.co/zN0TOlUlgX","リベンジ！そうこの戦いはリベンジ戦。
前回は船に乗ることすら許されなかった。
ただやり方を知らなかっただけ。
やり方さえわかればこっちのもの。
おいしいものをいただきにいくよ？
まっててね＾＾
今日はエスポワール号に乗り込むよ＾＾
いくぺこおおおおおおおお！！！！ "
1558349752391340034,2022-08-13_16:08:28,"⚠緊急ゲリラ⚠
このあと17時から🌟

☀モンハンサンブレイク☀

今日のコラボラッシュ前に
前回挑戦できなかった
メルゼナに初見でチャレンジするぺこ‼️

さぁぺこーらにお前の強さを見せてくれ！！！！！！！！！！！

▽待機所▽
https://t.co/Jdok3mnHwU https://t.co/cRfYX7DuAj","雨にも負けず風にも負けず
プロはどんな時でも冷静さが必要。
台風がこようが関係ない。
ぺこらとメルゼナの戦い。
ただそれだけだ。
今日こそ白黒はっきりつけようじゃないか！
かかってこい、お前のためにかっこいい武器作ってきたんや！！！！ "
1558035027761729536,2022-08-12_19:17:52,"このあと21時からは🌟

🚢RUST🚢

今日はseason1のとき出来なかった
エスポワール号を攻略しようと思うぺこ‼️

実はお家も改造してみたから見てほC

Rust生活いきましょい😊✨

▽待機所▽
https://t.co/wAmsGzpQTh https://t.co/PvIGBx34tv","あの船にはどんな宝物があるんだ？
きっとうまうまな物資があるに違いない！
今日は船ぶっ壊し委員会の兎田ぺこーらが行く。
エスポワール号VSぺこら
どっちが勝つのかわからない。
気持ちでは負けてない。
いくぞ、うま味の頂上へ！！！！！！
れっつごおおおおおおおおおおおおおおお！ "
1557317999367188480,2022-08-10_19:48:39,"すまん！改めて！
このあと20時からは🌟

💀RUST season２開幕💀

機材トラブルに負けない！
今シーズンも楽しむぺこおおお✨

まずは遊ぶ戦う増えるそして食い尽くすぺこおおおおおおおおおおおおおおおおおおおおおおお‼️‼️‼️

▽待機所▽
https://t.co/njGOi0tBpc https://t.co/p4CzZyytNR","ホロ鯖シーズン２が始まってるって！？！？！
おいおいぺこーらもやるしかねえぺこだよねえ？？？
前回は武力の中の武を見せつけてしまった。
今回のぺこらさんはどうしようかな。ん～そうだな。
やっぱり平和とは違うよな。
だってRUSTだし。
かといって敵対すぎてもな…
せや！ならあれをすればええ "
1557311200614301696,2022-08-10_19:21:38,"このあと20時からは🌟

☀モンハンサンブレイク☀

昨日のアプデ見たー！？
金のレイア銀のレウスｶｯｹｴｴｴｴｴｴ‼️

ぺこーらも狩ってみたいぺこ！！！
まずはラスボスの雰囲気をかもし出すメルゼナに挑戦じゃ！！！！！！！！！

▽待機所▽
https://t.co/njGOi0tBpc https://t.co/MzCTMXQJxY","ｱｶｰﾝ!!何度か試してるんだけど昨日のマリカみたいに画面キャプチャできなくなっちゃったぺこ😭
急遽内容変更になりマス😭 "
1556964903894028288,2022-08-09_20:25:34,"このあと21時30分からは🌟

🚗8位以下で水着をお披露目していくマリカ🚗

ついにホロライブサマー到来！！！
まだ見ていない人も、まだまだ見たりない人も見たいならぺこーらに勝つしかないぺこだよなぁ！？

新コースもきたし楽しみぺこだね🥳

▽待機所▽
https://t.co/csj2cwOsVx https://t.co/IqYVw6deaL","ホロライブサマー！きｔらあああああ！！！
水着や水着！待ちに待った水着や！！！！
あれ？けどぺこちゃんどうして通常衣装なの？
ええええ？！8位以下にならないと脱がない！
よおおおおし、マリカー大好きな僕私たちが一肌脱ぐか～
ぺこちゃんの水着きっとかわいいんだろうな～セクシーなのかな～ "
1556235916834123776,2022-08-07_20:08:50,"このあと22時からは🌟

🎆Minecraft🎆

今日は久しぶりのマイクラ❣

凄いと噂のID鯖も見てみたいし
今年もあります！夏祭りの下準備もしなければ！

欲張りぺこーらぺこおおおおおお✨✨

▽待機所▽
https://t.co/UOnREfzf9J https://t.co/2Hh4DpbXkI","久しいなマイクラ！
夏だ！お祭りだ！いろいろやりたいことだらけだ！！！
その前に！！！！
先月開通したID鯖にもお邪魔したいぺこだな～！
いろいろとすごいと噂ぺこだからちょ～～～～～～～～～楽しみ！！！

すこし参考にさせてもらうところを盗みにいくか！ "
1555503756426747906,2022-08-05_19:39:30,"このあと21時からは🌟

✨🥕🐰youtube200万耐久🐰🥕✨

ついについについについに…
ぺこーらのCh登録者が200万人になりそうぺこ！！！！！！！！！！！！！！！

ここまで色々あったね～

やっぱこの瞬間はみんなと見届けたい‼️
目指せ200万人！！！！！！！

▽待機所▽
https://t.co/xDP2qD08n8 https://t.co/GRYwyOgfWc","200万！！！！
これはとてつもない数字。
ぺこーらのことを知ってくれてる人がこんなにもいる！！！！
ついに、ついにだよ！！！！
みんなで一緒に見届けるしかないよな？
ついてきてくれるか？いこう！
200万人の世界へ！！！！！！！！！！ "
1555124470314319873,2022-08-04_18:32:21,"このあと20時からは🌟

💀RUST💀

本日最後の最終決戦！！！！！
貯めこんだ物資を全て使うぺこ‼️

全て更地となるか…
はたまたどうなるのか…

一体どうなっちまうぺこなのおおおおおおおおおおおおおおおおおおおおおおおおおおおお🐰‼️

▽待機所▽
https://t.co/SRJ6mf8h0B https://t.co/dhh9NOGJ2l","ついに最終日！
昨日とうって変わって今日は混沌！！！！！
すべての物資を使い切り、サーバー平地するぺこだ
！！！！！
こわい、本当はこわい。
けどぺこーらにはロケランがある！
すべて壊せばいい。
そうぺこだろ？
すべてが終わったときギャンブルの時間だ… "
1554763847814516736,2022-08-03_18:39:22,"このあと20時からは🌟

🎆RUST🎆

ワイプまであと２日…
やり残したことは…ある！！！！！

今日は悔いのないよう
やり残したことをやりまくり‼️

そして花火大会を楽しもうと思うぺこ✨

▽待機所▽
https://t.co/MYnsdoZDy9 https://t.co/TToib6JE33","ばーーーーーーーん。
空にきれいな花火が打ちあがった。
君は目をキラキラと輝かせこういった。
きれい…
僕はそんな君に見とれていた。いや、君の存在が僕にとって花火なんだ。
君のほうがきれいだよ。
いつの間にか言葉が出ていた。
君はうっすら笑い
ありがとっとつぶやいた… "
1554354373756878848,2022-08-02_15:32:15,"このあと21時からは🌟

▶妖怪ウォッチぷにぷに▶

妖怪ウォッチ×ホロライブコラボきｔらああああ✨✨

ぺこーらに課せられたミッションは
自分【兎田ぺこら（アイドル）】を当てること‼️

しかしぺこーらは欲張り…
今日はホロメン全員当てたいぺこ😆

▽待機所▽
https://t.co/aOn32Hfyyq https://t.co/1oa62ejO1p","よーでるよーでるよーでるよーでる！
ZZZぺこちゃんが！
よーでるよーでるよーでるよーでる！
ホロメンみんんが！
今日はついにぷにぷにでガシャ！
幸運ウサギと名乗っているからには自分をなんとしてでも出して見せる？
みんなはもうぺこーらゲットした？
まだなら一緒に回そうよ！！！！ "
1553701671469203457,2022-07-31_20:18:39,"このあと21時からは🌟

🐈にゃんこ大戦争🐈

本日、伝説のゲーム にゃんこ大戦争‼️
クリアまで遊ぶぺこおおおお！！

強いキャラは手に入るかな？✨
強敵はどんなやつらが出てくるかな？
楽しみぺこおおおおおお‼️

▽待機所▽
https://t.co/pg0Rz8pUT7 https://t.co/LCEpcQYZVL","にゃんにゃんにゃん！
にゃんこだにゃん！
にゃんこといっしょにせんそうにゃん！
にゃんにゃんにゃん！
ぺこにゃんだにゃん！
みんなで一緒に！
にゃんにゃんにゃん…！ "
1553307313683181570,2022-07-30_18:11:37,"このあと22時からは🌟

🚢RUST🚢

スモール攻略したら
今度はラージ攻略するしかないぺこだよなぁ！？

しかも物資も別格にウマウマらしい✨

そしてそして…ついにロケラン解禁‼️
こいつで攻略してやるぺこ😋

▽待機所▽
https://t.co/er3r8jARSX https://t.co/XTWfyEdLlT","げきうま！げきうま！やばいぐらい物資がうますぎるらしい
これはいくしかないぺこだよね？
危険？危ない？お前じゃ無理だ。
おいおい、何言ってんだい。
ぺこーらの右腕みえねえのか。
このロケランですべてを破壊してやるよ。
ともについてくるやつがいるならついてこい！

報酬はすべてぺこらのもの "
1552858956334243841,2022-07-29_12:30:00,"本日19時からは🌟

🀄ホロ麻雀大会 本番🀄

今日はホロライブメンバー8名による
#超越エキシビジョン 本番‼️

幸運、そして運だけではないぺこーらが優勝を狙うぺこ！！！！！！！！！！！！！！
頑張るからみんな応援よろ🐰💪

▽待機所▽
https://t.co/A8zonGaEz4 https://t.co/q1Gau2O0Pe",麻雀！役満！ワクワク🤩 
1552619356743692288,2022-07-28_20:37:55,"このあと22時からは🌟

🀄大会前日 麻雀練習🀄

明日はホロライブメンバー8名による麻雀大会
 #超越エキシビジョン 本番‼️

巷では麻雀界のスーパーコンピューターなんて言われているぺこらですが頑張りたいと思います💪

さーて、最終調整に入りますか…

▽待機所▽
https://t.co/bNao0ritbG https://t.co/JdwkYiWLeI","今日は大人の時間。
いつもと違う雰囲気の中、ギャンブルをする。
一つの駒で人生が変わる。
そう、これは麻雀。
生死をかけたとんでもないゲーム。
ぺこーらは何度も何度も、危ない目にあってきた。
けど、そのたび役満を出して難を逃れた。
今日は絶対に飛ばない。
ウサギだけど飛ばないよ。 "
1552234919828819968,2022-07-27_19:10:18,"このあと20時からは🌟

💣RUST💣

今日はオイルリグとやらを攻略したい‼️
（もしくはお船）

どんな物資があるのやら！！！
どんな仕掛けがあるのやら！！！

早く見たいぺこおおおおお😆✨

▽待機所▽
https://t.co/ueXeIBRZ9a https://t.co/a24KqGLwvb","もう武器はたくさん手にいれた。
けど、心の中がぽっかりだ。
え？さらに強いのがあるの…？
おい、それはどこなんだい？またぺこーらは力を蓄えてしまうのかい？
怖い、怖いよ
これ以上自分手で誰かを傷つけてしまうかもしれないなんて恐ろしい。
まぁ、いくか（黒笑） "
1551874187006193664,2022-07-26_19:16:53,"このあと21時からは🌟

☀️モンハンサンブレイク☀️

シオぺこのお通りじゃああああ！！！
コラボがいつぶりかはもうわからない😆

そんな２人でモンスターを狩りまくる‼️
きっと楽勝だよね…？きっと・・・！

▽待機所▽
https://t.co/37bA2H92zh https://t.co/2CXDYPvvMD","あ～オレンジジュース飲みたいな～。
そう、あのスッキリとした飲みごたえのあるオレンジジュース。懐かしき青春の味。
学生の頃飲んだな。学生のころと言ったらモンハン。
夢中になってモンスターを狩り続けたな。
今日はあの学生の頃を思い出したい！
さぁ、立ち上がれ！みんなでモンハンだー！！！ "
1551504618685083648,2022-07-25_18:48:21,"このあと21時からは🌟

💣最強！TNTキャノン選手権💣

個性豊かな作品だらけで見逃せない
マイクラの猛者たちが競う戦い👊

誰がぺこーらを遠くに飛ばし
そして優勝🏆を手にするのか…

‼️‼️‼️見逃し厳禁‼️‼️‼️

▽待機所▽
https://t.co/HFzZYwC2VI https://t.co/IgOU6WgLA0","マイクラで遊んで早3年。
ぺこーらももう玄人になったかなと思ったけど、次元がちげえ。
上には上がいる。はっきりわかるんだね。

どんだけぺこーらを遠くに飛ばす気？
鯖が持たないよ…
今日ついに決まるか、TNTキャノン選手権。
楽しみだなあ月まで飛べるのかな？
飛べるよね？レッツゴー！１！！！ "
1551141905047896064,2022-07-24_18:47:03,"このあと21時からは🌟

💀RUST💀

破壊者に出くわすし
ロケランぶっぱなしてくるやつもいる

混沌とした世界になったぺこだねぇ！？

さーて、今日は誰かの家
「壊しちゃお＾＾」

▽待機所▽
https://t.co/KPbDlpGSlM https://t.co/ECUtYEGdjJ","待ってたよ、
このヒリヒリする感覚。
今までは暖かい世界だった。けど、今日から変わる。
なんだか冷たい空気がしてきたな。。。

ぺこーらも正当防衛で頑張らなきゃ！！！！
RUST始まったな。
とりあえず誰かの家こわそっか！！！！！！！ "
1550435790416932865,2022-07-22_20:01:12,"このあと21時からは🌟

💰宝くじスクラッチ30万円分削る💰

ヴァルコネのご褒美でもらったスクラッチを削るときがきｔらあああああああああああああ‼️‼️‼️

なんか当たりそうぺこじゃないか！？
みんな、1等当てて伝説になろう✨

▽待機所▽
https://t.co/ywRIcazBCo https://t.co/8smBwG2WVj","人の金でやるギャンブルが一番最高だよね！
しかも、それで一等あたったらやばすぎ！
頼む、今年の運はまだない。いや、０に等しいけど。このためにだろ？
今日一等とるために今年前半運が皆無だった。そうぺこらは思う。
みんな、今日は伝説の配信になっちまうかもしれない。
見逃すな、必ず一等を！ "
1549709358816428033,2022-07-20_19:54:38,"このあと21時からは🌟

💀RUST💀

今日は地下鉄リベンジしたり～
新しい場所に行ったり～
ぺこマートのチェックしたり～
新しい施設作ったり～

ラジバンダリぺこおおおおおお‼️‼️

▽待機所▽
https://t.co/ISCv9nS17V https://t.co/8P9FOOJYEq","今日も、Rustの世界で生きる兎がいた。
毎日毎日、色々な人と出会い、触れあい、生活が充実する。
はっ！？
これがリア充ってこと！？
へへへ、こんなにも楽しいんだもん、笑顔がこぼれちゃう。
ずっと、ずーっとRUSTの中で生き続けよう。
それが私の生きがい。 "
1549373589723713537,2022-07-19_21:40:24,"この後22時30分からは🌟

🦁深夜Rust🦁

どうせ裏でやってしまうのだから
みんなとやろうぺこ！！！！！！！

コノトチノ タベモノ オラノモノ
シンニュウシャ カンゲイスル

▽待機所▽
https://t.co/Qjampgvtt2 https://t.co/HiPM7E4w2D","やっぱりこれだよね。
最近Rustで生きている気がする。
ご飯食べながらRust。仕事終わりのRust。
起きてRust。
素敵やん！
だってこんなにも楽しいゲーム最高ぺこじゃんん！！！！！
ぺこーらの基地もめっちゃ可愛い＆おシャレになったから見て！！！！！！！！ "
